grupo_id,nombre,cantidad_sugerida,unidad,peso_bruto_g,peso_neto_g,energia_kcal,proteina_g,lipidos_g,hidratos_carbono_g,ag_saturados_g,ag_monoinsaturados_g,ag_poliinsaturados_g,colesterol_mg,azucar_g,fibra_g,vitamina_a_mg_re,acido_ascorbico_mg,acido_folico_mg,calcio_mg,hierro_mg,potasio_mg,sodio_mg,fosforo_mg,etanol_g,indice_glucemico,carga_glucemica,contiene_gluten
19,Coliflor cruda,2,taza,200,80,20,1.6,0.1,4.2,0.0,0.0,0.0,0.0,,2.0,0.8,37.1,45.6,17.6,0.4,242.4,24.0,35.2,0.0,,,FALSE
19,Coliflor verde cocida,1/2,taza,68,68,22,2.1,0.2,4.2,0.0,0.0,0.1,0.0,,2.2,4.7,49.0,27.7,21.8,0.5,187.7,15.2,38.5,0.0,,,FALSE
19,Coliflor verde cruda,2,taza,128,78,24,2.3,0.2,4.8,0.0,0.0,0.1,0.0,,2.5,6.2,68.8,44.5,25.8,0.6,234.2,18.0,48.4,0.0,,,FALSE
19,Colinabo crudo,1/2,pieza,85,62,20,1.1,0.1,3.8,0.0,0.0,0.0,0.0,,1.3,0.3,38.5,,14.9,0.2,217.2,12.4,,0.0,,,FALSE
19,Corazón de alcachofa crudo,1,pieza,25,25,16,0.6,0.0,4.1,0.0,0.0,0.0,0.0,,0.3,3.0,1.5,18.5,8.0,0.2,84.8,20.0,0.0,0.0,,,FALSE
19,Corazón de lechuga crudo,1,pieza,130,124,12,1.2,0.0,4.4,0.0,0.0,0.0,0.0,,1.9,43.2,6.2,67.9,24.7,0.6,197.6,12.4,24.7,0.0,,,FALSE
19,Corazón de palmito crudo,3,pieza,99,99,27,2.4,0.6,4.5,0.0,0.0,0.3,0.0,,2.4,0.0,9.0,39.0,57.0,3.1,174.0,423.0,63.0,0.0,,,FALSE
19,Cresón cocido,1,taza,135,135,31,2.6,0.8,5.2,0.0,0.2,0.2,0.0,,1.0,313.2,31.1,50.0,82.4,1.1,476.6,10.8,64.8,0.0,,,FALSE
19,Cresón limpio crudo,2,taza,100,100,32,2.8,0.8,5.6,0.0,0.4,0.4,0.0,,1.2,346.0,69.0,80.0,81.0,1.3,606.0,14.0,76.0,0.0,,,FALSE
19,Crucetas crudas,1,taza,149,116,21,1.3,0.2,4.3,0.0,0.0,0.0,0.0,,0.8,25.6,27.9,0.0,90.7,6.7,0.0,0.0,0.0,0.0,,,FALSE
19,Cultlacoche cocido,1/3,taza,66,66,20,0.8,0.1,4.1,0.0,0.0,0.0,0.0,,1.2,0.0,2.6,,0.1,0.3,,0.0,2.4,0.0,,,FALSE
19,Echalot,1,pieza,40,34,25,0.9,0.0,5.8,0.0,0.0,0.0,0.0,,,20.6,2.8,11.7,12.7,0.4,114.9,4.1,20.6,0.0,,,FALSE
19,Edamame,1/7,taza,27,27,29,3.0,1.3,2.1,0.0,0.0,0.0,0.0,0.7,1.3,0.0,2.6,,16.2,0.6,,1.6,,0.0,,,FALSE
19,Ejotes cocidos picados,1/2,taza,63,63,22,1.2,0.2,4.9,0.0,0.0,0.1,0.0,,2.0,21.9,6.1,20.6,27.5,0.4,91.3,0.6,18.1,0.0,,,FALSE
19,Elotitos de cambray,8,pieza,64,64,26,2.1,0.0,4.3,0.0,0.0,0.0,0.0,,1.8,14.0,3.9,29.7,1.6,0.4,159.2,138.2,65.6,0.0,,,FALSE
19,Endivia cruda,3,taza,150,129,22,1.6,0.3,4.3,0.1,0.0,0.1,0.0,,4.0,139.3,8.4,183.2,67.1,1.1,405.1,28.4,36.1,0.0,,,FALSE
19,Espárragos,6,pieza,90,90,22,2.3,0.3,3.8,0.1,0.0,0.1,0.0,,2.8,49.0,10.0,131.0,18.0,0.7,144.0,10.0,49.0,0.0,,,FALSE
19,Espinaca cocida,1/2,taza,90,90,21,2.7,0.2,3.4,0.0,0.0,0.1,0.0,,3.2,471.6,8.8,131.0,122.0,3.2,419.0,63.0,50.0,0.0,,,FALSE
19,Espinaca cruda,2,taza,120,120,28,3.4,0.4,4.4,0.1,0.0,0.2,0.0,,2.6,562.8,33.7,232.8,118.8,3.3,669.6,94.3,58.8,0.0,,,FALSE
19,Flor de calabaza cocida,1,taza,134,134,20,1.4,0.2,4.4,0.0,0.0,0.0,0.0,,1.2,116.6,6.0,54.0,50.0,1.2,142.0,8.0,46.0,0.0,,,FALSE
19,Flor de calabaza cruda,4,taza,132,132,20,1.2,0.0,4.4,0.0,0.0,0.0,0.0,,,128.0,36.0,76.0,52.0,0.9,228.0,6.6,64.7,0.0,,,FALSE
19,Flor de colorín cocida,1/2,taza,40,40,24,1.8,0.1,4.0,0.0,0.0,0.0,0.0,,1.0,2.6,14.8,,43.2,1.0,,,,0.0,,,FALSE
19,Flor de colorín cruda,1,taza,40,40,24,1.8,0.1,4.0,0.0,0.0,0.0,0.0,,1.0,2.6,14.8,,43.2,1.0,,,,0.0,,,FALSE
19,Flor de garambullo cruda,1.5,taza,60,60,23,0.5,0.1,4.9,0.0,0.0,0.0,0.0,,0.5,12.6,24.0,,55.2,2.6,,,,0.0,,,FALSE
19,Flor de maguey cruda,1.5,taza,60,60,21,0.5,0.1,4.4,0.0,0.0,0.0,0.0,,0.4,14.4,35.4,,68.4,0.5,,,,0.0,,,FALSE
19,Flor de yuca cruda,1.5,taza,50,50,19,1.3,0.2,3.0,0.0,0.0,0.0,0.0,,0.3,0.5,135.1,,47.0,0.3,,,0.4,0.0,,,FALSE
19,Germen de alfalfa crudo,3,taza,99,99,23,4.0,0.7,2.1,0.1,0.1,0.4,0.0,,1.9,7.9,8.1,35.6,31.7,1.0,78.0,6.0,69.0,0.0,,,FALSE
19,Germen de lenteja crudo,1/4,taza,19,19,20,1.7,0.1,4.3,0.0,0.0,0.0,0.0,,,0.4,3.2,19.3,4.8,0.6,62.0,2.1,33.3,0.0,,,FALSE
19,Germen de soya cocido,1/3,taza,31,31,25,2.7,1.4,2.1,0.2,0.3,0.8,0.0,,0.3,0.6,2.6,25.1,18.5,0.4,111.3,3.1,42.3,0.0,,,FALSE
19,Germinado de lenteja,1/2,taza,17,17,17,1.5,0.1,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.3,2.7,,4.1,0.5,,1.8,,0.0,,,FALSE
19,Haba verde,4,pieza,32,32,23,1.8,0.2,3.7,0.0,0.0,0.0,0.0,55.0,1.3,5.8,10.6,30.7,7.0,0.6,80.0,16.0,30.4,0.0,2.0,,FALSE
19,Hoja de Nori (alga),10,gramos,10,10,20,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,12.0,,40.0,0.7,,12.0,,0.0,,,FALSE
